Station,Local_MAPE_%,Transfer_MAPE_%,Transfer_Loss_%
0 gera maranhao,15.708,19.385,3.677
1 sao domingos,15.114,18.829,3.715
10 Rio de janeiro,11.445,6.724,-4.721
2 nova brasilia urucui,13.878,16.3,2.423
3 Redencao do Gurgueia,10.82,11.299,0.479
4 caripare,10.665,12.859,2.194
5 santa maria da vitoria,9.339,10.65,1.311
6 manga,8.802,10.983,2.181
7 jequitai,10.918,11.935,1.017
8 gov valadares,10.788,10.426,-0.363
9 vicosa,11.212,10.939,-0.273
bangu -22.8753_-43.4649,12.337,12.478,0.141
barra da tijuca -23.0114_-43.3218,13.545,13.138,-0.407
botafogo -22.9454_-43.1808,12.917,13.215,0.298
copacabana -22.9864_-43.1872,13.207,13.269,0.063
ipanema -22.9873_-43.2019,13.249,13.247,-0.002
jacarepagua -22.9532_-43.3716,13.127,12.737,-0.39
maracanã -22.9122_-43.2312,12.741,12.886,0.145
marambaia -23.0626_-43.8556,12.27,12.431,0.16
meier -22.9017_-43.2797,12.625,12.763,0.138
